a,coord_sigma,alpha,n_mc,fail_rate,mean_num_pne,median_num_pne,min_num_pne,max_num_pne,n_eff_pne,std_num_pne,se_num_pne
4,0,90,100,0,1.25,1,1,4,100,0.729950876996722,0.0729950876996722
5,0,90,100,0,1.5,1,1,4,100,0.822658906696862,0.0822658906696862
6,0,90,100,0,2.5,2,1,6,100,1.45296631451356,0.145296631451356
6,5,90,100,0.06,1.66,1,0,5,100,1.09378409037782,0.109378409037782
6,20,30,100,0,2.38,2,1,10,100,1.47559267325835,0.147559267325835
6,20,50,100,0,2.5,2,1,6,100,1.45296631451356,0.145296631451356
6,20,70,100,0.09,1.51,1,0,5,100,1.08706815412704,0.108706815412704
6,20,75,100,0.08,1.62,1,0,5,100,1.11717537033395,0.111717537033395
6,20,80,100,0.09,1.51,1,0,5,100,1.08706815412704,0.108706815412704
6,20,90,100,0.08,1.62,1,0,5,100,1.11717537033395,0.111717537033395
6,20,95,100,0.13,1.41,1,0,4,100,0.964993327029841,0.0964993327029841
6,20,99,100,0.11,1.48,1,0,5,100,1.10535884753241,0.110535884753241
6,45,90,100,0.1,1.5,1,0,5,100,1.03961919990354,0.103961919990354
7,0,90,100,0,4.35,4,1,12,100,3.09895713967382,0.309895713967382
7,5,90,100,0.11,2.62,2,0,10,100,2.20550275997162,0.220550275997162
7,20,30,100,0,4.34,4,1,12,100,3.02588162292572,0.302588162292572
7,20,50,100,0,4.34,4,1,12,100,3.02588162292572,0.302588162292572
7,20,75,100,0.13,2.57,2,0,10,100,2.23947594879975,0.223947594879975
7,20,90,100,0.13,2.57,2,0,10,100,2.23947594879975,0.223947594879975
7,20,95,100,0.13,2.57,2,0,10,100,2.23947594879975,0.223947594879975
7,20,99,100,0.16,2.31,1.5,0,10,100,2.18208962957876,0.218208962957876
7,45,90,100,0.2,2.18,1,0,9,100,2.14796121327583,0.214796121327583
8,0,90,100,0,7.5,5.5,1,30,100,6.71271972158871,0.671271972158871
9,0,90,100,0,11.96,7,1,60,100,12.3606740360816,1.23606740360816
10,0,90,100,0,15.07,8,1,100,100,18.5783924672364,1.85783924672364
11,0,90,100,0,18.03,11,1,110,100,21.9478053940744,2.19478053940744
12,0,90,100,0,23.58,12.5,1,220,100,31.7767401116164,3.17767401116164
13,0,90,100,0,25.84,12,1,220,100,34.6269352739258,3.46269352739258
14,0,90,100,0,25.8,11.5,1,240,100,35.4084393295945,3.54084393295945
