flight_id,airline_id,sched_t,ready_t,runway,pax
F0001,1,0,0,1,300
F0002,3,3,0,2,300
F0003,3,5,2,1,300
F0004,4,6,6,2,180
F0005,3,9,7,2,250
F0006,4,11,10,2,180
F0007,4,11,8,1,250
F0008,2,16,14,1,300
F0009,3,18,18,2,250
F0010,3,18,15,2,250
F0011,1,19,19,2,250
F0012,5,19,17,1,180
F0013,2,20,17,2,250
F0014,4,20,17,2,300
F0015,3,20,20,2,250
F0016,4,21,18,1,250
F0017,2,21,21,2,180
F0018,1,22,22,2,180
F0019,4,22,20,2,180
F0020,1,22,22,1,300
F0021,5,24,22,1,300
F0022,5,24,21,2,300
F0023,5,26,26,2,250
F0024,1,32,32,2,250
F0025,2,32,30,2,300
F0026,3,33,33,2,180
F0027,1,33,31,1,250
F0028,5,34,32,2,250
F0029,1,35,35,1,180
F0030,4,35,32,1,300
F0031,5,37,35,1,300
F0032,2,38,35,2,180
F0033,3,38,37,2,180
F0034,3,38,35,2,250
F0035,5,39,39,1,300
F0036,5,40,40,2,300
F0037,5,43,40,2,180
F0038,4,44,42,1,250
F0039,1,44,41,2,250
F0040,4,46,45,2,300
F0041,4,46,43,2,300
F0042,4,47,45,2,250
F0043,4,49,47,2,250
F0044,3,49,48,1,250
F0045,2,49,46,2,250
F0046,3,50,47,1,180
F0047,2,51,48,2,250
F0048,3,51,48,2,250
F0049,2,52,52,1,250
F0050,5,53,51,2,180
F0051,2,55,52,2,250
F0052,1,56,54,1,250
F0053,4,59,57,1,300
